SAG	Sample	Sample feature	FACS mode	Estimated cell diameter (μm)	WGA-X Cp (h)	Raw read count	Assembly size (bp)	Final contigs count	Max contig length	GC content (%)	Genome completeness (%)	Estimated genome size (Mbp)	SSU contig	SSU classification CREST/SILVA	Screened 16S Crest/SILVA	Lineage	Phylum	PUFA	acyl_amino_acids	arylpolyene	bacteriocin	bacteriocin.nrps	bacteriocin.terpene	ectoine	hserlactone	ladderane	lantipeptide	lantipeptide.nrps	lassopeptide	microcin	nrps	nucleoside	other	otherks	otherks.butyrolactone.nrps	phosphonate	phosphonate.t3pks.terpene	phosphonate.terpene	resorcinol	siderophore	t1pks	t1pks.PUFA	t1pks.PUFA.otherks	t1pks.nrps	t1pks.otherks	t3pks	t3pks.terpene	terpene	transatpks
AG-313-C08	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.3983	3,390,073	902,589	33	124,203	34	56	1.61	AG-313-C08_NODE_4 (1519 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	NA	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-C18	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.4346	3,658,252	893,122	35	128,600	32	57	1.57	AG-313-C18_NODE_3 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-L14	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.5859	3,535,192	981,936	32	115,230	32	67	1.47	AG-313-L14_NODE_6 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-L19	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.4760	3,462,229	810,433	37	87,097	34	61	1.33	AG-313-L19_NODE_1 (1519 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-319-P18	SWC-02	Secondary DCM, oxygen deplete	Syto9-Prok	<0.5	1.8545	546,348	390,783	31	53,204	35	13	NA	AG-319-P18_NODE_7 (1483 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__?;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__?;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-325-G22	SWC-03	Mixed layer, 50% PAR	Syto9-Prok	<0.5	1.3939	3,196,779	803,766	50	72,043	33	67	1.2	AG-325-G22_NODE_20 (1498 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-325-O21	SWC-03	Mixed layer, 50% PAR	Syto9-Prok	<0.5	1.6448	3,062,018	567,609	43	55,789	33	48	NA	AG-325-O21_NODE_4 (1508 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-333-A21	SWC-04	DCM, <1% PAR	Syto9-Prok	<0.5	1.5973	2,765,234	866,609	35	110,863	32	59	1.47	AG-333-A21_NODE_6 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-333-C02	SWC-04	DCM, <1% PAR	Syto9-Prok	<0.5	1.5832	491,656	636,460	43	67,438	33	36	NA	AG-333-C02_NODE_29 (1508 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-333-E10	SWC-04	DCM, <1% PAR	Syto9-Prok	<0.5	1.5774	3,531,787	1,002,278	30	158,008	33	70	1.43	AG-333-E10_NODE_1 (1509 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-333-E15	SWC-04	DCM, <1% PAR	Syto9-Prok	<0.5	1.5610	615,495	859,152	38	119,891	32	47	NA	AG-333-E15_NODE_10 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-333-G05	SWC-04	DCM, <1% PAR	Syto9-Prok	<0.5	1.5759	3,444,784	1,093,080	14	418,701	32	76	1.44	AG-333-G05_NODE_4 (1508 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-333-G15	SWC-04	DCM, <1% PAR	Syto9-Prok	<0.5	1.5474	4,003,250	963,731	27	339,570	32	76	1.27	AG-333-G15_NODE_3 (1508 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
